time,reading
397.0,0.0
394.0,0.05
391.0,0.1
389.0,0.15
387.0,0.2
385.0,0.251
383.0,0.302
381.0,0.352
379.0,0.402
376.0,0.452
374.0,0.503
370.0,0.553
370.0,0.604
367.0,0.654
365.0,0.704
363.0,0.755
360.0,0.805
358.0,0.856
357.0,0.906
355.0,0.957
353.0,1.007
352.0,1.057
351.0,1.107
349.0,1.158
348.0,1.209
348.0,1.259
347.0,1.309
346.0,1.359
345.0,1.411
345.0,1.461
344.0,1.511
344.0,1.561
343.0,1.612
342.0,1.662
343.0,1.713
347.0,1.763
349.0,1.814
343.0,1.864
342.0,1.914
341.0,1.965
340.0,2.015
339.0,2.066
338.0,2.116
337.0,2.166
336.0,2.216
335.0,2.268
334.0,2.318
333.0,2.368
333.0,2.418
336.0,2.469
329.0,2.52
315.0,2.57
311.0,2.62
314.0,2.671
312.0,2.721
305.0,2.771
295.0,2.822
298.0,2.872
304.0,2.923
299.0,2.973
304.0,3.023
310.0,3.074
315.0,3.125
318.0,3.175
307.0,3.225
192.0,3.275
145.0,3.326
137.0,3.377
150.0,3.427
160.0,3.477
169.0,3.528
177.0,3.578
184.0,3.629
191.0,3.679
198.0,3.73
203.0,3.78
208.0,3.83
213.0,3.88
149.0,3.931
96.0,3.982
88.0,4.032
93.0,4.082
91.0,4.132
97.0,4.184
90.0,4.234
103.0,4.284
118.0,4.334
130.0,4.384
141.0,4.435
151.0,4.486
159.0,4.536
166.0,4.586
173.0,4.637
180.0,4.687
185.0,4.738
191.0,4.788
196.0,4.839
201.0,4.889
205.0,4.939
87.0,4.989
90.0,5.041
71.0,5.091
92.0,5.141
109.0,5.191
91.0,5.241
80.0,5.293
64.0,5.343
87.0,5.393
106.0,5.443
89.0,5.494
39.0,5.544
67.0,5.595
88.0,5.645
106.0,5.695
121.0,5.746
133.0,5.796
144.0,5.847
154.0,5.897
162.0,5.948
171.0,5.998
177.0,6.048
183.0,6.098
188.0,6.15
191.0,6.2
197.0,6.25
202.0,6.3
208.0,6.351
213.0,6.402
218.0,6.452
223.0,6.502
225.0,6.552
230.0,6.603
238.0,6.653
245.0,6.704
253.0,6.754
257.0,6.805
257.0,6.855
256.0,6.905
255.0,6.956
255.0,7.007
252.0,7.057
252.0,7.107
253.0,7.157
255.0,7.208
257.0,7.259
260.0,7.309
262.0,7.359
262.0,7.41
255.0,7.46
254.0,7.511
254.0,7.561
255.0,7.611
256.0,7.662
259.0,7.712
262.0,7.762
264.0,7.813
262.0,7.864
262.0,7.914
254.0,7.964
244.0,8.014
255.0,8.066
275.0,8.116
295.0,8.166
299.0,8.216
298.0,8.267
295.0,8.317
291.0,8.368
290.0,8.418
290.0,8.468
287.0,8.519
289.0,8.569
292.0,8.62
296.0,8.67
298.0,8.721
298.0,8.771
296.0,8.821
294.0,8.871
294.0,8.923
295.0,8.973
286.0,9.023
287.0,9.073
287.0,9.124
287.0,9.175
287.0,9.225
287.0,9.275
287.0,9.326
287.0,9.376
287.0,9.426
287.0,9.477
287.0,9.527
287.0,9.578
288.0,9.628
289.0,9.678
290.0,9.729
291.0,9.78
293.0,9.83
294.0,9.88
295.0,9.93
